,Time,Day,Week,Month,Year,Holiday,Increase,Integrated Load
0,1/2/2016,2,53,1,2016,1,3.456256751,402300
1,1/3/2016,3,53,1,2016,1,-0.914740244,398620
2,1/4/2016,4,1,1,2016,0,15.46134163,460252
3,1/5/2016,5,1,1,2016,0,5.299053562,484641
4,1/6/2016,6,1,1,2016,0,-4.214666114,464215
5,1/7/2016,7,1,1,2016,0,-3.14143231,449632
6,1/8/2016,8,1,1,2016,0,-2.295877518,439309
7,1/9/2016,9,1,1,2016,1,-9.564338541,397292
8,1/10/2016,10,1,1,2016,1,-2.170192201,388670
9,1/11/2016,11,2,1,2016,0,15.39738081,448515
10,1/12/2016,12,2,1,2016,0,3.067678896,462274
11,1/13/2016,13,2,1,2016,0,2.039050433,471700
12,1/14/2016,14,2,1,2016,0,-1.226203095,465916
13,1/15/2016,15,2,1,2016,0,-6.893731917,433797
14,1/16/2016,16,2,1,2016,1,-7.705908524,400369
15,1/17/2016,17,2,1,2016,1,1.945205548,408157
16,1/18/2016,18,3,1,2016,0,13.06458054,461481
17,1/19/2016,19,3,1,2016,0,5.47823204,486762
18,1/20/2016,20,3,1,2016,0,-3.970729022,467434
19,1/21/2016,21,3,1,2016,0,-0.721171331,464063
20,1/22/2016,22,3,1,2016,0,1.08347358,469091
21,1/23/2016,23,3,1,2016,1,-4.966626944,445793
22,1/24/2016,24,3,1,2016,1,-3.332937036,430935
23,1/25/2016,25,4,1,2016,0,4.954343462,452285
24,1/26/2016,26,4,1,2016,0,-1.824292205,444034
25,1/27/2016,27,4,1,2016,0,-0.871104465,440166
26,1/28/2016,28,4,1,2016,0,-3.301708901,425633
27,1/29/2016,29,4,1,2016,0,4.361738869,444198
28,1/30/2016,30,4,1,2016,1,-6.526819121,415206
29,1/31/2016,31,4,1,2016,1,-5.874674258,390814
30,2/1/2016,1,5,2,2016,0,7.049389224,418364
31,2/2/2016,2,5,2,2016,0,1.046696178,422743
32,2/3/2016,3,5,2,2016,0,0.852763972,426348
33,2/4/2016,4,5,2,2016,0,-2.253558126,416740
34,2/5/2016,5,5,2,2016,0,4.499928013,435493
35,2/6/2016,6,5,2,2016,1,-5.603075136,411092
36,2/7/2016,7,5,2,2016,1,-3.498486957,396710
37,2/8/2016,8,6,2,2016,0,11.0697991,440625
38,2/9/2016,9,6,2,2016,0,1.758411348,448373
39,2/10/2016,10,6,2,2016,0,0.292390487,449684
40,2/11/2016,11,6,2,2016,0,6.19168127,477527
41,2/12/2016,12,6,2,2016,0,0.878274946,481721
42,2/13/2016,13,6,2,2016,1,-1.982060155,472173
43,2/14/2016,14,6,2,2016,1,3.161129501,487099
44,2/15/2016,15,7,2,2016,0,1.456788045,494195
45,2/16/2016,16,7,2,2016,0,-8.50231184,452177
46,2/17/2016,17,7,2,2016,0,-1.218107069,446669
47,2/18/2016,18,7,2,2016,0,1.382455465,452844
48,2/19/2016,19,7,2,2016,0,0.531308795,455250
49,2/20/2016,20,7,2,2016,1,-13.6081274,393299
50,2/21/2016,21,7,2,2016,1,-2.137559465,384892
51,2/22/2016,22,8,2,2016,0,9.949804101,423188
52,2/23/2016,23,8,2,2016,0,5.051655529,444566
53,2/24/2016,24,8,2,2016,0,-0.490365885,442386
54,2/25/2016,25,8,2,2016,0,-3.532435475,426759
55,2/26/2016,26,8,2,2016,0,4.085912658,444196
56,2/27/2016,27,8,2,2016,1,-6.610145071,414834
57,2/28/2016,28,8,2,2016,1,-8.274153035,380510
58,2/29/2016,29,9,2,2016,0,9.096738588,415124
59,3/1/2016,1,9,3,2016,0,2.010001831,423468
60,3/2/2016,2,9,3,2016,0,1.541084568,429994
61,3/3/2016,3,9,3,2016,0,3.832611618,446474
62,3/4/2016,4,9,3,2016,0,-0.589731989,443841
63,3/5/2016,5,9,3,2016,1,-7.759084898,409403
64,3/6/2016,6,9,3,2016,1,-4.505340703,390958
65,3/7/2016,7,10,3,2016,0,6.475631654,416275
66,3/8/2016,8,10,3,2016,0,-3.31391508,402480
67,3/9/2016,9,10,3,2016,0,-2.149672033,393828
68,3/10/2016,10,10,3,2016,0,0.581726033,396119
69,3/11/2016,11,10,3,2016,0,-0.954511144,392338
70,3/12/2016,12,10,3,2016,1,-7.28198645,363768
71,3/13/2016,13,10,3,2016,1,-5.838336522,342530
72,3/14/2016,14,11,3,2016,0,18.59253204,406215
73,3/15/2016,15,11,3,2016,0,-0.884506973,402622
74,3/16/2016,16,11,3,2016,0,-2.533641977,392421
75,3/17/2016,17,11,3,2016,0,0.007899679,392452
76,3/18/2016,18,11,3,2016,0,0.900747098,395987
77,3/19/2016,19,11,3,2016,1,-4.755711677,377155
78,3/20/2016,20,11,3,2016,1,1.568851003,383072
79,3/21/2016,21,12,3,2016,0,8.597600451,416007
80,3/22/2016,22,12,3,2016,0,-1.409351285,410144
81,3/23/2016,23,12,3,2016,0,-2.298461028,400717
82,3/24/2016,24,12,3,2016,0,-0.574969367,398413
83,3/25/2016,25,12,3,2016,0,-3.015212857,386400
84,3/26/2016,26,12,3,2016,1,-5.988354037,363261
85,3/27/2016,27,12,3,2016,1,-4.652577623,346360
86,3/28/2016,28,13,3,2016,0,14.65094122,397105
87,3/29/2016,29,13,3,2016,0,0.74690573,400071
88,3/30/2016,30,13,3,2016,0,-0.744367875,397093
89,3/31/2016,31,13,3,2016,0,-1.258647219,392095
90,4/1/2016,1,13,4,2016,0,0.062229817,392339
91,4/2/2016,2,13,4,2016,1,-6.891744129,365300
92,4/3/2016,3,13,4,2016,1,3.803175472,379193
93,4/4/2016,4,14,4,2016,0,13.8570596,431738
94,4/5/2016,5,14,4,2016,0,-0.372911349,430128
95,4/6/2016,6,14,4,2016,0,-1.027833575,425707
96,4/7/2016,7,14,4,2016,0,-4.456821241,406734
97,4/8/2016,8,14,4,2016,0,-0.146287254,406139
98,4/9/2016,9,14,4,2016,1,-4.706762956,387023
99,4/10/2016,10,14,4,2016,1,-2.662632453,376718
100,4/11/2016,11,15,4,2016,0,3.2988867,389145.5
101,4/12/2016,12,15,4,2016,0,3.19353558,401573
102,4/13/2016,13,15,4,2016,0,-1.502093019,395541
103,4/14/2016,14,15,4,2016,0,-1.304289568,390382
104,4/15/2016,15,15,4,2016,0,-2.030319021,382456
105,4/16/2016,16,15,4,2016,1,-8.458227875,350107
106,4/17/2016,17,15,4,2016,1,-1.798878629,343809
107,4/18/2016,18,16,4,2016,0,11.79724789,384369
108,4/19/2016,19,16,4,2016,0,0.0101465,384408
109,4/20/2016,20,16,4,2016,0,-0.732815134,381591
110,4/21/2016,21,16,4,2016,0,1.078641792,385707
111,4/22/2016,22,16,4,2016,0,1.992445042,393392
112,4/23/2016,23,16,4,2016,1,-9.657796803,355399
113,4/24/2016,24,16,4,2016,1,3.412221194,367526
114,4/25/2016,25,17,4,2016,0,3.299630502,379653
115,4/26/2016,26,17,4,2016,0,2.762259221,390140
116,4/27/2016,27,17,4,2016,0,-2.404521454,380759
117,4/28/2016,28,17,4,2016,0,-0.122912393,380291
118,4/29/2016,29,17,4,2016,0,-0.513817051,378337
119,4/30/2016,30,17,4,2016,1,-8.638594692,345654
120,5/1/2016,1,17,5,2016,1,2.422075254,354026
121,5/2/2016,2,18,5,2016,0,10.06282024,389651
122,5/3/2016,3,18,5,2016,0,-0.200949054,388868
123,5/4/2016,4,18,5,2016,0,0.072775338,389151
124,5/5/2016,5,18,5,2016,0,-0.461774478,387354
125,5/6/2016,6,18,5,2016,0,0.020394781,387433
126,5/7/2016,7,18,5,2016,1,-9.211915351,351743
127,5/8/2016,8,18,5,2016,1,-3.524163949,339347
128,5/9/2016,9,19,5,2016,0,12.52199076,381840
129,5/10/2016,10,19,5,2016,0,-0.38602556,380366
130,5/11/2016,11,19,5,2016,0,0.787662409,383362
131,5/12/2016,12,19,5,2016,0,2.432426792,392687
132,5/13/2016,13,19,5,2016,0,-0.981443236,388833
133,5/14/2016,14,19,5,2016,1,-8.488734238,355826
134,5/15/2016,15,19,5,2016,1,-2.216813836,347938
135,5/16/2016,16,20,5,2016,0,10.61654663,384877
136,5/17/2016,17,20,5,2016,0,0.561478083,387038
137,5/18/2016,18,20,5,2016,0,-0.748763687,384140
138,5/19/2016,19,20,5,2016,0,0.476128495,385969
139,5/20/2016,20,20,5,2016,0,0.023058847,386058
140,5/21/2016,21,20,5,2016,1,-8.165094364,354536
141,5/22/2016,22,20,5,2016,1,-1.780919286,348222
142,5/23/2016,23,21,5,2016,0,14.00428462,396988
143,5/24/2016,24,21,5,2016,0,1.360998317,402391
144,5/25/2016,25,21,5,2016,0,6.351533707,427949
145,5/26/2016,26,21,5,2016,0,8.558730129,464576
146,5/27/2016,27,21,5,2016,0,4.566529481,485791
147,5/28/2016,28,21,5,2016,1,-1.819300893,476953
148,5/29/2016,29,21,5,2016,1,-3.256924686,461419
149,5/30/2016,30,22,5,2016,0,-2.138620213,451551
150,5/31/2016,31,22,5,2016,0,9.931325587,496396
151,6/1/2016,1,22,6,2016,0,-3.627144457,478391
152,6/2/2016,2,22,6,2016,0,-3.306082263,462575
153,6/3/2016,3,22,6,2016,0,-3.766740529,445151
154,6/4/2016,4,22,6,2016,1,-2.485224115,434088
155,6/5/2016,5,22,6,2016,1,-5.259071893,411259
156,6/6/2016,6,23,6,2016,0,13.79981958,468012
157,6/7/2016,7,23,6,2016,0,0.521995163,470455
158,6/8/2016,8,23,6,2016,0,-12.98806475,409352
159,6/9/2016,9,23,6,2016,0,-3.452041275,395221
160,6/10/2016,10,23,6,2016,0,2.194215388,403893
161,6/11/2016,11,23,6,2016,1,1.603147368,410368
162,6/12/2016,12,23,6,2016,1,1.689946585,417303
163,6/13/2016,13,24,6,2016,0,-0.437811374,415476
164,6/14/2016,14,24,6,2016,0,2.488471055,425815
165,6/15/2016,15,24,6,2016,0,7.023237791,455721
166,6/16/2016,16,24,6,2016,0,2.455669148,466912
167,6/17/2016,17,24,6,2016,0,-2.294650812,456198
168,6/18/2016,18,24,6,2016,1,-5.445004143,431358
169,6/19/2016,19,24,6,2016,1,2.738792372,443172
170,6/20/2016,20,25,6,2016,0,16.09826433,514515
171,6/21/2016,21,25,6,2016,0,-0.626026452,511294
172,6/22/2016,22,25,6,2016,0,-4.486068681,488357
173,6/23/2016,23,25,6,2016,0,-1.80667012,479534
174,6/24/2016,24,25,6,2016,0,0.509035856,481975
175,6/25/2016,25,25,6,2016,1,-6.32937393,451469
176,6/26/2016,26,25,6,2016,1,2.680139722,463569
177,6/27/2016,27,26,6,2016,0,10.50372221,512261
178,6/28/2016,28,26,6,2016,0,-3.583524805,493904
179,6/29/2016,29,26,6,2016,0,0.406151803,495910
180,6/30/2016,30,26,6,2016,0,-0.469843318,493580
181,7/1/2016,1,26,7,2016,0,-2.092872483,483250
182,7/2/2016,2,26,7,2016,1,-14.525194,413057
183,7/3/2016,3,26,7,2016,1,-2.459466853,402898
184,7/4/2016,4,27,7,2016,0,7.356948905,432539
185,7/5/2016,5,27,7,2016,0,23.15744939,532704
186,7/6/2016,6,27,7,2016,0,9.637246951,584042
187,7/7/2016,7,27,7,2016,0,2.281856442,597369
188,7/8/2016,8,27,7,2016,0,-6.364575329,559349
189,7/9/2016,9,27,7,2016,1,-20.0720838,447076
190,7/10/2016,10,27,7,2016,1,-2.289990964,436838
191,7/11/2016,11,28,7,2016,0,9.950599536,480306
192,7/12/2016,12,28,7,2016,0,6.751529233,512734
193,7/13/2016,13,28,7,2016,0,8.396556499,555786
194,7/14/2016,14,28,7,2016,0,4.798789462,582457
195,7/15/2016,15,28,7,2016,0,1.852497266,593247
196,7/16/2016,16,28,7,2016,1,-12.0130401,521980
197,7/17/2016,17,28,7,2016,1,-0.790834898,517852
198,7/18/2016,18,29,7,2016,0,13.41811946,587338
199,7/19/2016,19,29,7,2016,0,-10.01365483,528524
200,7/20/2016,20,29,7,2016,0,-4.29062824,505847
201,7/21/2016,21,29,7,2016,0,8.132893938,546987
202,7/22/2016,22,29,7,2016,0,11.41562779,609429
203,7/23/2016,23,29,7,2016,1,-4.651075023,581084
204,7/24/2016,24,29,7,2016,1,-6.512483565,543241
205,7/25/2016,25,30,7,2016,0,8.726145486,590645
206,7/26/2016,26,30,7,2016,0,-0.501485664,587683
207,7/27/2016,27,30,7,2016,0,0.411105987,590099
208,7/28/2016,28,30,7,2016,0,1.967974865,601712
209,7/29/2016,29,30,7,2016,0,-6.590195974,562058
210,7/30/2016,30,30,7,2016,1,-9.45809863,508898
211,7/31/2016,31,30,7,2016,1,-4.456295761,486220
212,8/1/2016,1,31,8,2016,0,5.507383489,512998
213,8/2/2016,2,31,8,2016,0,-2.547573285,499929
214,8/3/2016,3,31,8,2016,0,-0.305643401,498401
215,8/4/2016,4,31,8,2016,0,3.433580591,515514
216,8/5/2016,5,31,8,2016,0,2.989443546,530925
217,8/6/2016,6,31,8,2016,1,-1.769741489,521529
218,8/7/2016,7,31,8,2016,1,-5.892865018,490796
219,8/8/2016,8,32,8,2016,0,8.026552784,530190
220,8/9/2016,9,32,8,2016,0,3.012127728,546160
221,8/10/2016,10,32,8,2016,0,8.486340999,592509
222,8/11/2016,11,32,8,2016,0,7.728996522,638304
223,8/12/2016,12,32,8,2016,0,-0.029766381,638114
224,8/13/2016,13,32,8,2016,1,-2.100878526,624708
225,8/14/2016,14,32,8,2016,1,-3.695806681,601620
226,8/15/2016,15,33,8,2016,0,1.193111931,608798
227,8/16/2016,16,33,8,2016,0,1.020207031,615009
228,8/17/2016,17,33,8,2016,0,-5.204476682,583001
229,8/18/2016,18,33,8,2016,0,-3.898792626,560271
230,8/19/2016,19,33,8,2016,0,1.185140762,566911
231,8/20/2016,20,33,8,2016,1,-7.070598383,526827
232,8/21/2016,21,33,8,2016,1,-1.608497666,518353
233,8/22/2016,22,34,8,2016,0,-5.618372036,489230
234,8/23/2016,23,34,8,2016,0,-4.343151483,467982
235,8/24/2016,24,34,8,2016,0,9.556564141,512705
236,8/25/2016,25,34,8,2016,0,4.904769799,537852
237,8/26/2016,26,34,8,2016,0,8.135509397,581609
238,8/27/2016,27,34,8,2016,1,-11.57117582,514310
239,8/28/2016,28,34,8,2016,1,-0.105967218,513765
240,8/29/2016,29,35,8,2016,0,1.422148258,521071.5
241,8/30/2016,30,35,8,2016,0,1.402206799,528378
242,8/31/2016,31,35,8,2016,0,2.765065919,542988
243,9/1/2016,1,35,9,2016,0,-6.361466552,508446
244,9/2/2016,2,35,9,2016,0,-8.305503436,466217
245,9/3/2016,3,35,9,2016,1,-11.87773076,410841
246,9/4/2016,4,35,9,2016,1,-2.069413715,402339
247,9/5/2016,5,36,9,2016,0,4.800180942,421652
248,9/6/2016,6,36,9,2016,0,16.74508837,492258
249,9/7/2016,7,36,9,2016,0,7.562091424,529483
250,9/8/2016,8,36,9,2016,0,7.742835936,570480
251,9/9/2016,9,36,9,2016,0,4.998597672,598996
252,9/10/2016,10,36,9,2016,1,-6.916406787,557567
253,9/11/2016,11,36,9,2016,1,-12.72618358,486610
254,9/12/2016,12,37,9,2016,0,-6.667557181,454165
255,9/13/2016,13,37,9,2016,0,3.266874374,469002
256,9/14/2016,14,37,9,2016,0,5.644538829,495475
257,9/15/2016,15,37,9,2016,0,-12.20687219,434993
258,9/16/2016,16,37,9,2016,0,-2.689698455,423293
259,9/17/2016,17,37,9,2016,1,-4.804001011,402958
260,9/18/2016,18,37,9,2016,1,11.04953866,447483
261,9/19/2016,19,38,9,2016,0,9.225601866,488766
262,9/20/2016,20,38,9,2016,0,0.718339655,492277
263,9/21/2016,21,38,9,2016,0,-2.924979229,477878
264,9/22/2016,22,38,9,2016,0,-1.002138621,473089
265,9/23/2016,23,38,9,2016,0,-1.056672212,468090
266,9/24/2016,24,38,9,2016,1,-17.5776026,385811
267,9/25/2016,25,38,9,2016,1,-6.905194512,359170
268,9/26/2016,26,39,9,2016,0,12.12267172,402711
269,9/27/2016,27,39,9,2016,0,4.857577767,422273
270,9/28/2016,28,39,9,2016,0,-2.304196574,412543
271,9/29/2016,29,39,9,2016,0,-3.114826818,399693
272,9/30/2016,30,39,9,2016,0,-1.67753751,392988
273,10/1/2016,1,39,10,2016,1,-6.98316488,365545
274,10/2/2016,2,39,10,2016,1,-1.652327347,359505
275,10/3/2016,3,40,10,2016,0,10.72474653,398061
276,10/4/2016,4,40,10,2016,0,0.121589405,398545
277,10/5/2016,5,40,10,2016,0,-1.304495101,393346
278,10/6/2016,6,40,10,2016,0,1.345126174,398637
279,10/7/2016,7,40,10,2016,0,-0.090307724,398277
280,10/8/2016,8,40,10,2016,1,-7.113390931,369946
281,10/9/2016,9,40,10,2016,1,-3.67026539,356368
282,10/10/2016,10,41,10,2016,0,6.474206438,379440
283,10/11/2016,11,41,10,2016,0,3.076902804,391115
284,10/12/2016,12,41,10,2016,0,-0.158265472,390496
285,10/13/2016,13,41,10,2016,0,1.416659838,396028
286,10/14/2016,14,41,10,2016,0,-2.447806721,386334
287,10/15/2016,15,41,10,2016,1,-6.984888723,359349
288,10/16/2016,16,41,10,2016,1,-0.639768025,357050
289,10/17/2016,17,42,10,2016,0,15.10572749,410985
290,10/18/2016,18,42,10,2016,0,5.231334477,432485
291,10/19/2016,19,42,10,2016,0,0.549614437,434862
292,10/20/2016,20,42,10,2016,0,-5.563374128,410669
293,10/21/2016,21,42,10,2016,0,1.542604872,417004
294,10/22/2016,22,42,10,2016,1,-11.02195662,371042
295,10/23/2016,23,42,10,2016,1,-3.743511516,357152
296,10/24/2016,24,43,10,2016,0,9.799749126,392152
297,10/25/2016,25,43,10,2016,0,2.051245435,400196
298,10/26/2016,26,43,10,2016,0,1.143189837,404771
299,10/27/2016,27,43,10,2016,0,3.973110722,420853
300,10/28/2016,28,43,10,2016,0,-3.947934314,404238
301,10/29/2016,29,43,10,2016,1,-7.319203044,374651
302,10/30/2016,30,43,10,2016,1,-3.057779106,363195
303,10/31/2016,31,44,10,2016,0,8.619887388,394502
304,11/1/2016,1,44,11,2016,0,2.050433204,402591
305,11/2/2016,2,44,11,2016,0,-1.361182938,397111
306,11/3/2016,3,44,11,2016,0,0.770565409,400171
307,11/4/2016,4,44,11,2016,0,-2.592891539,389795
308,11/5/2016,5,44,11,2016,1,-5.789966521,367226
309,11/6/2016,6,44,11,2016,1,1.99141673,374539
310,11/7/2016,7,45,11,2016,0,7.565033281,402873
311,11/8/2016,8,45,11,2016,0,-0.083152755,402538
312,11/9/2016,9,45,11,2016,0,0.967858935,406434
313,11/10/2016,10,45,11,2016,0,-0.527022838,404292
314,11/11/2016,11,45,11,2016,0,-1.539234019,398069
315,11/12/2016,12,45,11,2016,1,-4.19600622,381366
316,11/13/2016,13,45,11,2016,1,-3.027275635,369821
317,11/14/2016,14,46,11,2016,0,8.806692968,402390
318,11/15/2016,15,46,11,2016,0,1.76023261,409473
319,11/16/2016,16,46,11,2016,0,-1.886571276,401748
320,11/17/2016,17,46,11,2016,0,-0.301930563,400535
321,11/18/2016,18,46,11,2016,0,-0.936996767,396782
322,11/19/2016,19,46,11,2016,1,-6.070335852,372696
323,11/20/2016,20,46,11,2016,1,5.910715436,394725
324,11/21/2016,21,47,11,2016,0,11.67040345,440791
325,11/22/2016,22,47,11,2016,0,-0.782230127,437343
326,11/23/2016,23,47,11,2016,0,-2.77928308,425188
327,11/24/2016,24,47,11,2016,0,-10.53510447,380394
328,11/25/2016,25,47,11,2016,0,0.81468162,383493
329,11/26/2016,26,47,11,2016,1,-0.0821397,383178
330,11/27/2016,27,47,11,2016,1,-0.082207225,382863
331,11/28/2016,28,48,11,2016,0,8.942624385,417101
332,11/29/2016,29,48,11,2016,0,0.51162668,419235
333,11/30/2016,30,48,11,2016,0,-1.792073658,411722
334,12/1/2016,1,48,12,2016,0,-0.052948349,411504
335,12/2/2016,2,48,12,2016,0,0.757465298,414621
336,12/3/2016,3,48,12,2016,1,-5.001917414,393882
337,12/4/2016,4,48,12,2016,1,-1.083573253,389614
338,12/5/2016,5,49,12,2016,0,10.23859512,429505
339,12/6/2016,6,49,12,2016,0,0.110825252,429981
340,12/7/2016,7,49,12,2016,0,0.138843344,430578
341,12/8/2016,8,49,12,2016,0,1.022811198,434982
342,12/9/2016,9,49,12,2016,0,1.961920263,443516
343,12/10/2016,10,49,12,2016,1,-4.110561964,425285
344,12/11/2016,11,49,12,2016,1,-0.097111349,424872
345,12/12/2016,12,50,12,2016,0,4.741663372,445018
346,12/13/2016,13,50,12,2016,0,-1.024003523,440461
347,12/14/2016,14,50,12,2016,0,1.598325391,447501
348,12/15/2016,15,50,12,2016,0,8.402439324,485102
349,12/16/2016,16,50,12,2016,0,1.326525143,491537
350,12/17/2016,17,50,12,2016,1,-8.54605045,449530
351,12/18/2016,18,50,12,2016,1,-6.255867239,421408
352,12/19/2016,19,51,12,2016,0,12.43948857,473829
353,12/20/2016,20,51,12,2016,0,0.350337358,475489
354,12/21/2016,21,51,12,2016,0,-3.90839746,456905
355,12/22/2016,22,51,12,2016,0,-2.574276928,445143
356,12/23/2016,23,51,12,2016,0,-4.006577662,427308
357,12/24/2016,24,51,12,2016,1,-5.558987896,403554
358,12/25/2016,25,51,12,2016,1,-5.547213012,381168
359,12/26/2016,26,52,12,2016,0,8.397609453,413177
360,12/27/2016,27,52,12,2016,0,0.35795797,414656
361,12/28/2016,28,52,12,2016,0,3.916258296,430895
362,12/29/2016,29,52,12,2016,0,2.014411864,439575
363,12/30/2016,30,52,12,2016,0,-1.41705056,433346
364,12/31/2016,31,52,12,2016,1,-4.298412816,414719
365,1/1/2017,1,52,1,2017,1,-7.059237701,385443
366,1/2/2017,2,1,1,2017,0,8.258289812,417274
367,1/3/2017,3,1,1,2017,0,4.01175247,434014
368,1/4/2017,4,1,1,2017,0,-0.710115342,430932
369,1/5/2017,5,1,1,2017,0,6.65696676,459619
370,1/6/2017,6,1,1,2017,0,0.23911109,460718
371,1/7/2017,7,1,1,2017,1,-1.023619655,456002
372,1/8/2017,8,1,1,2017,1,0.331138899,457512
373,1/9/2017,9,2,1,2017,0,8.052029236,494351
374,1/10/2017,10,2,1,2017,0,-3.115802335,478948
375,1/11/2017,11,2,1,2017,0,-9.704811378,432467
376,1/12/2017,12,2,1,2017,0,-3.475178453,417438
377,1/13/2017,13,2,1,2017,0,1.086388877,421973
378,1/14/2017,14,2,1,2017,1,0.21470568,422879
379,1/15/2017,15,2,1,2017,1,-3.288174632,408974
380,1/16/2017,16,3,1,2017,0,5.669309051,432160
381,1/17/2017,17,3,1,2017,0,1.35690485,438024
382,1/18/2017,18,3,1,2017,0,-1.465673114,431604
383,1/19/2017,19,3,1,2017,0,-1.726814395,424151
384,1/20/2017,20,3,1,2017,0,-0.384532867,422520
385,1/21/2017,21,3,1,2017,1,-9.343699707,383041
386,1/22/2017,22,3,1,2017,1,-1.117895995,378759
387,1/23/2017,23,4,1,2017,0,13.46581863,429762
388,1/24/2017,24,4,1,2017,0,2.885550607,442163
389,1/25/2017,25,4,1,2017,0,-2.832665782,429638
390,1/26/2017,26,4,1,2017,0,-1.04925542,425130
391,1/27/2017,27,4,1,2017,0,1.274668925,430549
392,1/28/2017,28,4,1,2017,1,-4.854035197,409650
393,1/29/2017,29,4,1,2017,1,-2.426949835,399708
394,1/30/2017,30,5,1,2017,0,11.19392156,444451
395,1/31/2017,31,5,1,2017,0,3.500498368,460009
396,2/1/2017,1,5,2,2017,0,-4.287524809,440286
397,2/2/2017,2,5,2,2017,0,-0.027255012,440166
398,2/3/2017,3,5,2,2017,0,2.517686509,451248
399,2/4/2017,4,5,2,2017,1,-5.273153565,427453
400,2/5/2017,5,5,2,2017,1,-3.353585073,413118
401,2/6/2017,6,6,2,2017,0,4.268029958,430750
402,2/7/2017,7,6,2,2017,0,2.120255369,439883
403,2/8/2017,8,6,2,2017,0,-4.905622631,418304
404,2/9/2017,9,6,2,2017,0,7.829234241,451054
405,2/10/2017,10,6,2,2017,0,2.770621699,463551
406,2/11/2017,11,6,2,2017,1,-10.62558381,414296
407,2/12/2017,12,6,2,2017,1,0.808117867,417644
408,2/13/2017,13,7,2,2017,0,6.939402936,446626
409,2/14/2017,14,7,2,2017,0,-1.561933251,439650
410,2/15/2017,15,7,2,2017,0,-1.414306835,433432
411,2/16/2017,16,7,2,2017,0,2.623018144,444801
412,2/17/2017,17,7,2,2017,0,-1.80934845,436753
413,2/18/2017,18,7,2,2017,1,-11.29127905,387438
414,2/19/2017,19,7,2,2017,1,-6.41728483,362575
415,2/20/2017,20,8,2,2017,0,7.918085913,391284
416,2/21/2017,21,8,2,2017,0,6.14770857,415339
417,2/22/2017,22,8,2,2017,0,-3.417690128,401144
